expte_code,anio,edificio,caratula,fecha_ingreso,ultima_gestion,se_giro_a,tipo_tramite,fecha,etiqueta,resolucion,dependencia_actual
3339,2023,OTROS EDIFICIOS,Renovación del servicio de limpieza y desinfección de los tanques cisternas y elevados instalados en diversos edificios dependente de la CSJN -OC N°789 y 791/21,2025-02-19,Vino Ferrari y Silvina a consultar por el cambio de dos conectores en el edificio de: Villarino y Cuerpo Médico,No está en esta Dirección,CD,2025-05-29,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
3,1111,PALACIO - TALCAHUANO 550,""".....""",,Se redactó nota...,Dependencia,,,PENDIENTE RESOLVER,NO,
4110,2024,NOTI.Y SUBASTAS-JEAN JEAURES 545,"Renovación del servicio de mantenimiento integral, preventivos, correctivo y con atención diaria de la instalación termomecánica del edificio de la calle Jean Jaures 545 de CABA OC N°384/2023",2025-02-19,Vto. 28/2/2025,No está en esta Dirección,LP,,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
153624,2024,MORGUE -JUNIN 760,Servicio de mantenimiento preventivo y correctivo grupos electrógenos de morgue.,2025-02-19,($4.099.000 vTO. 31/3/2025,No está en esta Dirección,CD,2025-02-19,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
3660,2024,OTROS EDIFICIOS,Servicio de mantenimiento preventivo y correctivo de las electrobombas -diversos edificios,2025-02-19,Expte. 904/2025 con reso VTO. 31/3/2025 - Desde intendencia solicitaron la continuidad 5 meses,No está en esta Dirección,CD,2025-02-19,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
2084,2024,NOTI.Y SUBASTAS-JEAN JEAURES 545,Servicio de mantenimiento preventivo y correctivo de instalación fija contra incendio Jean Jaures 545,2025-02-19,Exp. 888/2025 con reso ($1.240.560) VTO. 31/3/2025 - Silvina Pujol solicitó la continuidad por el plazo de 4 meses con el mismo proveedor - Alberto Fortunato SRL-,No está en esta Dirección,CD,2025-02-19,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
1545,2023,OVD - LAVALLE 1250,"Renovación del servicio de limpieza integral de todo el edificio, Lavalle 1248/50 OVD",2025-06-27,Se rubricó el pliego,Subdirección de Contrataciones,LP,2025-11-19,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Compras
6855,2023,VIAMONTE 1197 CABA,Renovación del servicio de limpieza integral Viamoente 1197 - Mandamientos,2025-02-19,Se solicitó el archivo- tramita por el 6288/2025 -,No está en esta Dirección,LP,2026-02-02,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Archivo
7122,2023,ROQUE SAENZ PEÑA,Renovación del servicio de limpieza integral Av. Roque Saenz Peña 1190,2025-02-19,Se solicitó e archivo (tramita por el 6288/2025),No está en esta Dirección,LP,2026-02-02,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
331,2025,ROQUE SAENZ PEÑA,CONTINUIDAD del servicio de limpieza integral Av. Roque Saenz Peña 1190,2025-02-10,Nuevo valor mensual $1.365.625 - Presta conformidad DOMIN SERVICIOS GENERALES SRL por el plazo de 5 meses,Subdirección de Contrataciones,CD,2025-03-20,FINALIZÓ PARA ESTE DIRECCIÓN,299/2025,Subdirección de Contrataciones
333,2025,VIAMONTE 1197 CABA,CONTINUIDAD del servicio de limpieza integral Viamonte 1197,2025-02-10,se presta conformidad a la continuidad por 5 meses,Dirección de Administración,CD,2025-03-25,FINALIZÓ PARA ESTE DIRECCIÓN,296/2025,Dirección de Administración
334,2025,OVD - LAVALLE 1250,CONTINUIDAD del servicio de limpieza integral OVD,2025-02-10,"Reso 367/2025 continuidad por 5 meses con el mismo proveedor DISTRIBION SRL ($ 55.984.500,00.-mensual de $11.196.900,00)",En esta Dirección,CD,2025-03-31,FINALIZÓ PARA ESTE DIRECCIÓN,SI,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
335,2025,ARCHIVO GENERAL - HIPÓLITO YRIGOYEN 2041/61,CONTINUIDAD del servicio de limpieza integral Hipólito Yrigoyen 2041/61,2025-02-10,RESO 368/25 - $13.356.600 mensual y total $66.783.000 ( Distribion SRL por 5 meses ) Abril a Agosto/25-,En esta Dirección,CD,2025-03-31,FINALIZÓ PARA ESTE DIRECCIÓN,SI,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
5952,2024,VILLARINO 2010 - DEPÓSITO AUTOMOTORES/ ÁREA DE TALLERES/ARCHIVO GENERAL PJN,Renovación del servicio de limpieza integral Villarino 2010,2025-02-13,OC n° 241 y 242/2023 - VTO. 30/6/2025 (Esc prefetente despacho 205/25) Se solicitó la continuidad por 3 meses (jul/ago/sept) Correo AV,No está en esta Dirección,LP,2025-03-05,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,Subdirección de Infraestructura
7355,2024,OVD - LAVALLE 1250,Renovación del servicio de mantenimiento integral preventivo y correctivo de los tres ascensores instalados en Lavalle 1429,2025-02-13,OC n° 2221 y 222/2023 - VTO. 30/6/2025 ESC preferente despacho 204/25,No está en esta Dirección,LP,,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
729,2025,OTROS EDIFICIOS,Gianini Alberto Luis s/ contratación de locación de servicio,2025-02-12,"RESO 1996/2025 - Autorizar al Director de la Dirección General de Gestión Interna e Infraestructura a suscribir el contrato de servicios con el arquitecto Alberto Luis Gianini (DNI 11.280.669), por el término de nueve(9) meses - ($ 2.017.219,89),",En esta Dirección,OTROS,2025-09-04,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,DPTO. DE LIQUIDACIONES
322,2025,PALACIO - TALCAHUANO 550,CONTINUIDAD del servicio de mantenimiento preventivo y correctivo de los grupos electrógenos del sistema eléctrico informático y del sist. eléctrico general instalados en el Palacio OC 618/24,2025-03-07,se presta coformidad a lo actuado por Infra,Dirección de Administración,CD,2025-03-10,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Subdirección de Infraestructura
5819,2024,PALACIO - TALCAHUANO 550,Contratación del servicio de mantenimietno integral preventivo y correctivo de los equipos acondicionadores de aire instalados en el Palacio 550 y Dpto. de medicina preventiva laboral Inmigrantes 1950 1° Piso,2025-05-19,RESOLUCION 831/25 ADJUDICA A TEKMIK por $243.300.000,Subdirección de Contrataciones,LP,2025-05-19,FINALIZÓ PARA ESTE DIRECCIÓN,831/25,MESA DE ENTRADAS
7778,2024,OTROS EDIFICIOS,CONTINUIDAD del servicio de limpieza y desinfección de los tanques cisterna y elevados instalados en diversos edificios dependientes de la CSJN OC 353/2024,2025-02-12,Resolución 92/25 BIO Efia Treatment SA $4.850.622 POR 6 MESES a partir de marzo/2025,Subdirección de Contrataciones,CD,2025-02-24,FINALIZÓ PARA ESTE DIRECCIÓN,SI,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
7757,2024,NOTI.Y SUBASTAS-JEAN JEAURES 545,"CONTINUIDAD del servicio de mantenimiento integra, preventivo, correctivo y con atención diaria de la instalación termomecánica del edificio Jean Jaures 545 OC 384/2023",2025-02-12,Con resolución n° 73/2025 TEKNIK SRL $21.696.655 / Mensual:$4.339.331) por 5 MESES a partir del 1/3/2025,Subdirección de Contrataciones,CD,2025-02-24,FINALIZÓ PARA ESTE DIRECCIÓN,SI,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
1533,2024,MORGUE -JUNIN 760,Renovación del servicio de mantenimiento preventivo y correcito AA Morgue,2025-02-19,(ESC 328/2025 -$14.523.000 OC vigente: N° 639/24 vto 30/04/2025 (Silvina Pujol pide la contiuindad por 4 meses),No está en esta Dirección,CD,2025-02-27,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
4111,2024,CUERPO DE PERITOS - BARTOLOMÉ MITRE 718/20,Renovación del servicio de mantenimiento termomecánica. Bartolomé Mitre 718,2025-02-19,vto 30/04/2025 -Silvina Pujol solicitó la PRÓRROGA (1 MES ),No está en esta Dirección,LP,2025-03-06,PENDIENTE RESOLVER,NO,Subdirección de Infraestructura
3952,2023,CUERPO DE PERITOS - BARTOLOMÉ MITRE 718/20,(OBRA PÚBLICA) Adecuación y mantenimiento del servicio de la instalación termomecánica. Bartolomé Mitre 718,2024-12-18,vto 30/04/2025,En esta Dirección,LP,,PENDIENTE RESOLVER,NO,En esta Dirección
8063,2023,CUERPO DE PERITOS - BARTOLOMÉ MITRE 718/20,RENOVACIÓN del servicio integral preventivo y correctivo con atención diaria de la instalación termomecánica. Bartolomé Mitre 718,2024-12-18,OC.521/2023,En esta Dirección,LP,,PENDIENTE RESOLVER,NO,En esta Dirección
1534,2024,NOTI.Y SUBASTAS-JEAN JEAURES 545,"Renovación del servicio mantenimiento preventivo, correctivo de los ascensores de Hipólito Yrigoyen y Jean Jaures 545 OC 388/2023",2024-12-18,"$34.800.000. En Infra ""para que ratifiquen o rectifiquen lo realizado por intendencia""",No está en esta Dirección,LP,2025-02-25,PENDIENTE RESOLVER,NO,Subdirección de Infaestructura
2083,2024,OVD - LAVALLE 1250,Renovación del servicio de mantenimiento peventivo y correctivo AA OVD (OC 364/2023),2024-12-18,$22.800.000,No está en esta Dirección,CD,,PENDIENTE RESOLVER,NO,Subdirección de Infaestructura
4888,2024,OTROS EDIFICIOS,Renovación : Desratización diversos edificios (Anterior expte. 2267/2023),2025-02-20,15/08/2024 pase a Indendencia para renovación para licitacion,Subdirección de Infraestructura,LP,2025-02-19,PENDIENTE RESOLVER,NO,Subdirección de Infaestructura
6798,2023,VILLARINO 2010 - DEPÓSITO AUTOMOTORES/ ÁREA DE TALLERES/ARCHIVO GENERAL PJN,Cubierta techo Villarino 2010,2025-02-19,($6.000.000 1 presupuesto hispomterica Vto. 27/4/24),No está en esta Dirección,CD,,PENDIENTE RESOLVER,NO,Subdirección de Infaestructura
2944,2023,MORGUE -JUNIN 760,"Adecuación, provisión, instalación y certif, sistema hidrantes del edificio Morgue - Convenio UTN",2025-02-19,($4.850.000 -Interadministrativo- pendiente prestar conformidad por Infra (Obra Pública vinculación),No está en esta Dirección,CD,,PENDIENTE RESOLVER,NO,Subdirección de Infaestructura
2411,2024,OTROS EDIFICIOS,Provisión e instalación de estanterías metálicas para archivos Inmigrantes 1950,2025-02-20,Resolución ok al LLAMADO 2667/2024,No está en esta Dirección,LP,,FINALIZÓ PARA ESTE DIRECCIÓN,SI,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
5658,2024,MORGUE -JUNIN 760,Contratación del Anteproyecto Integral y Pliego para la readecuación y refuncionalización de la Morgue Judicial,2025-02-20,"Nueva fecha de apertura 16/04/2025 - $534.611.197,25",Subdirección de contrataciones,LP,2025-03-14,PENDIENTE RESOLVER,SI,Mesa Dirección
8326,2024,MORGUE -JUNIN 760,"Provisión de ""mobiliario"" - ($3.684.000) Sillas morgue judicial,OVD, cuerpo médico . PET .",2025-02-20,Desde Infra van a incorporar la solicitud a un nuevo llamado de LP,Subdirección de Infraestructura,CD,,FINALIZÓ PARA ESTE DIRECCIÓN,SI,Subdirección de Infraestructura
5377,2024,PALACIO - TALCAHUANO 550,Consolidación y mantenimiento de las fachadas del Palacio - Talcahuano 550,2025-02-20,"Esc 2731/2025 . Mediante Reso 3399/2025 : Designar a la Arquitecta Delfina Apaolaza como Inspector de Obra de los trabajos de “Consolidación y Mantenimiento de fachadas Talcahuano y Tucumán y obras complementarias - Palacio de Justicia de la Nación, Talcahuano 550, C.A.B.A.”; en el marco de lo establecido por el artículo 37º de las Cláusulas Especiales del Pliego de Bases y Condiciones y de acuerdo a lo establecido por el artículo 28º de la ley 13.064.",No está en esta Dirección,LP,2025-12-23,FINALIZÓ PARA ESTE DIRECCIÓN,,INFRAESTRCUTURA
5225,2023,PALACIO - TALCAHUANO 550,Refuerzo estructura parcial de la azotea 7° Piso - (Etapa III-Modulos),2025-02-20,"Nueva fecha de apertura 10/04/2025 ($421.517.454) , por falta de firma en partida presupuestaria.",Subdirección de contrataciones,LP,2025-03-14,PENDIENTE RESOLVER,SI,MESA DIRECCIÓN
7552,2023,PALACIO - TALCAHUANO 550,Restauracion fachadas de patios interiores 3 y 4 obras complementarias- Lic 272/2023- (Exp 3907/2022),2025-02-20,"RESO 2252/2025 - Designar al Arquitecto Federico LOBOS como Supervisor de Obra de los trabajos de Restauración de fachadas de patios interiores 3 y 4 y obras complementarias del Palacio de Justicia (Etapa VI), Talcahuano 550, C.A.B.A.-",Subdirección de Contrataciones,LP,2025-09-30,PENDIENTE RESOLVER,SI,Mesa dirección
4994,2023,PALACIO - TALCAHUANO 550,RENOVACION DEL SERVICIO DE MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECIVO DE LOS ASCENSORES 1 A 12 Y LOS DENOMINADOS A Y B INSTALADOS EN EL EDIFICIO SEDE DE LA CSJN DE LA CABA - OC N° 73/2022,2024-11-05,RESOLUCIÓN 305/2025 Adjudicación ASCENSORES LA PLATA SRL $371.899.800 ($27.140.000) los primeros 6 meses y $34.843.300 los restantes 6 meses),No está en esta Dirección,LP,2025-03-25,FINALIZÓ PARA ESTE DIRECCIÓN,SI,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
