expte_code,fecha,gestion,se_giro_a,dependencia_actual
3339,2025-05-29,Vino Ferrari y Silvina a consultar por el cambio de dos conectores en el edificio de: Villarino y Cuerpo Médico,No está en esta Dirección,Subdirección de Infraestructura
3339,,"($13.898.692,20 vTO. 28/2/2025 - Se solicitó la continuidad (6 meses expte. 7778/24)",No está en esta Dirección,Subdirección de Infraestructura
4110,,Vto. 28/2/2025,No está en esta Dirección,Subdirección de Infraestructura
153624,2025-02-19,($4.099.000 vTO. 31/3/2025,No está en esta Dirección,Subdirección de Infraestructura
153624,,($4.099.000 vTO. 31/3/2025,No está en esta Dirección,Subdirección de Infraestructura
3660,2025-02-19,Expte. 904/2025 con reso VTO. 31/3/2025 - Desde intendencia solicitaron la continuidad 5 meses,No está en esta Dirección,Subdirección de Infraestructura
3660,2025-02-19,VTO. 31/3/2025 - Desde intendencia solicitaron la continuidad 5 meses,No está en esta Dirección,Subdirección de Infraestructura
3660,,VTO. 31/3/2025,No está en esta Dirección,Subdirección de Infraestructura
2084,2025-02-19,Exp. 888/2025 con reso ($1.240.560) VTO. 31/3/2025 - Silvina Pujol solicitó la continuidad por el plazo de 4 meses con el mismo proveedor - Alberto Fortunato SRL-,No está en esta Dirección,Subdirección de Infraestructura
2084,2025-02-19,($1.240.560) VTO. 31/3/2025 - Silvina Pujol solicitó la continuidad por el plazo de 4 meses con el mismo proveedor - Alberto Fortunato SRL-,No está en esta Dirección,Subdirección de Infraestructura
2084,,($1.240.560) VTO. 31/3/2025,No está en esta Dirección,Subdirección de Infraestructura
1545,2025-11-19,Se rubricó el pliego,Subdirección de Contrataciones,Compras
1545,2025-11-12,Pendente ver,Subdirección de Contrataciones,En esta Dirección
1545,2025-10-29,Se respondieron Ptos /Jurídicos/ Compras,Subdirección de Contrataciones,Subdirección de Contrataciones
1545,2025-09-08,Se rubrica el PET agregado a FS 175 a 212,Subdirección de Contrataciones,Subdirección de Contrataciones
1545,2025-08-12,Se eleva con respuesta de las observaciones al P.E.T y se envía P.Torres al correo el PET modificado.,Subdirección de Contrataciones,Subdirección de Contrataciones
1545,2025-08-04,En elaboración respuesta de observaciones al PET.,En esta Dirección,En esta Dirección
1545,2025-08-04,Pendiente responder observaciones al PET,En esta Dirección,En esta Dirección
1545,2025-06-27,Se elevó con presupuesto oficial de $ 800.061.600,Dirección de Administración,Mesa de entradas general
1545,,($360.672.000) VTO. 31/3/2025,No está en esta Dirección,Subdirección de Infraestructura
6855,2025-02-02,Se solicitó el archivo- tramita por el 6288/2025 -,No está en esta Dirección,Archivo
6855,,"($134.917.725,36) VTO. 31/3/2025",No está en esta Dirección,Subdirección de Infraestructura
7122,2026-02-02,Se solicitó e archivo (tramita por el 6288/2025),No está en esta Dirección,Subdirección de Infraestructura
7122,,($34.000.000) VTO. 31/3/2025,No está en esta Dirección,Subdirección de Infraestructura
331,2025-03-19,Nuevo valor mensual $1.365.625 - Presta conformidad DOMIN SERVICIOS GENERALES SRL por el plazo de 5 meses,Subdirección de Contrataciones,Subdirección de Contrataciones
331,2025-03-20,Nuevo valor mensual $1.365.625 - Presta conformidad DOMIN SERVICIOS GENERALES SRL por el plazo de 5 meses,Subdirección de Contrataciones,Subdirección de Contrataciones
331,2025-03-18,Nuevo valor - Pendiente prestar conformidad DOMIN SERVICIOS GENERALES SRL por el plazo de 5 meses,Subdirección de Contrataciones,En esta Dirección
331,1970-01-01,Se solicitó la continuidad con DOMIN SERVICIOS GENERALES SRL por el plazo de 5 meses,Subdirección de Contrataciones,En esta Dirección
331,,OC 698/24 - VTO. 31/3/2025,En esta Dirección,En esta Dirección
333,2025-03-17,se presta conformidad a la continuidad por 5 meses,Dirección de Administración,Dirección de Administración
333,2025-02-20,OC n°571/24- VTO. 31/3/2025 Se solicitó la continuidad por el término de 5 meses con el mismo prestador - PLM Group Servicios Empresariales S.R.L,En esta Dirección,En esta Dirección
333,,OC n°571/24- VTO. 31/3/2025,En esta Dirección,En esta Dirección
334,2025-03-31,"Reso 367/2025 continuidad por 5 meses con el mismo proveedor DISTRIBION SRL ($ 55.984.500,00.-mensual de $11.196.900,00)",En esta Dirección,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
334,2025-03-19,PENDIENTE VER - continuidad por 5 meses con el mismo proveedor DISTRIBION SRL,En esta Dirección,En esta Dirección
334,2025-02-19,Se solicitó la continuidad por 5 meses con el mismo proveedor DISTRIBION SRL,En esta Dirección,En esta Dirección
334,,OC n° 567/24- VTO. 31/3/2025,En esta Dirección,En esta Dirección
335,2025-03-31,RESO 368/25 - $13.356.600 mensual y total $66.783.000 ( Distribion SRL por 5 meses ) Abril a Agosto/25-,En esta Dirección,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
335,2025-03-18,$13.356.600 mensual y total $66.783.000 ( Distribion SRL por 5 meses ) Abril a Agosto/25,En esta Dirección,En esta Dirección
335,2025-03-18,PENDIENTE VER Distribion SRL por 5 meses,En esta Dirección,En esta Dirección
335,2025-02-19,Se solicitó la continuidad con Distribion SRL por 5 meses,En esta Dirección,En esta Dirección
335,2025-02-10,OC n° 499/24- VTO. 31/3/2025,En esta Dirección,En esta Dirección
5952,2025-03-05,OC n° 241 y 242/2023 - VTO. 30/6/2025 (Esc prefetente despacho 205/25) Se solicitó la continuidad por 3 meses (jul/ago/sept) Correo AV,No está en esta Dirección,Subdirección de Infraestructura
5952,,OC n° 241 y 242/2023 - VTO. 30/6/2025 (Esc prefetente despacho 205/25),No está en esta Dirección,Subdirección de Infraestructura
729,2025-09-04,"RESO 1996/2025 - Autorizar al Director de la Dirección General de Gestión Interna e Infraestructura a suscribir el contrato de servicios con el arquitecto Alberto Luis Gianini (DNI 11.280.669), por el término de nueve(9) meses - ($ 2.017.219,89),",En esta Dirección,DPTO. DE LIQUIDACIONES
729,2025-02-12,"Se subió nota de elevación, pendiente acompañar documental complementaria.",En esta Dirección,En esta Dirección
322,2025-03-10,se presta coformidad a lo actuado por Infra,Dirección de Administración,Mesa de entradas aco 15/24
322,2025-02-12,No se solicita la continuidad - C32 inoperativo - finaliza el expte.al vto oc 618/2024,Subdirección de Infraestructura,Subdirección de Infraestructura
